Row_ID,Trigger_Type,Stripper,Watcher,Event_Item,Stripper_Lost,Watcher_Lost,Condition_Expr,Priority,Dialogue_Key,Tooltip,Starting_Background_Override
LISA_LOSE_EVENT 7_VS_PLAYER_LOST_EVENT 1,ITEM_LOST,LISA,PLAYER,EVENT 7,EVENT 1;EVENT 2;EVENT 3;EVENT 4;EVENT 5;EVENT 6;EVENT 7,EVENT 1,,1,LAST_LISA_LOSS,,
PLAYER_LOSE_EVENT 1_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,NONE,,1,PLAYER_LOST_QUICK,,
PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 1,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,EVENT 1,,1,PLAYER_LOST_QUICK,,
PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 2,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,EVENT 1;EVENT 2,,1,PLAYER_LOST_NOT_QUICK,,
PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 3,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,EVENT 1;EVENT 2;EVENT 3,,1,PLAYER_LOST_NOT_QUICK,,
PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 4,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,EVENT 1;EVENT 2;EVENT 3;EVENT 4,,1,PLAYER_LOST_NOT_QUICK,,
PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 5,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,EVENT 1;EVENT 2;EVENT 3;EVENT 4;EVENT 5,,1,PLAYER_LOST_NOT_QUICK,,
PLAYER_LOSE_EVENT 1_VS_LISA_LOST_EVENT 6,ITEM_LOST,PLAYER,LISA,EVENT 1,EVENT 1,EVENT 1;EVENT 2;EVENT 3;EVENT 4;EVENT 5;EVENT 6,,1,PLAYER_LOST_NOT_QUICK,,
PLAYER_LOSE_EVENT 2_VS_LISA_CLOTHED,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,NONE,,1,PLAYER_ABOUT_TO_LOSE_NOT_CLOSE,,
PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 1,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,EVENT 1,,1,PLAYER_ABOUT_TO_LOSE_NOT_CLOSE,,
PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 2,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,EVENT 1;EVENT 2,,1,PLAYER_ABOUT_TO_LOSE_NOT_CLOSE,,
PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 3,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,EVENT 1;EVENT 2;EVENT 3,,1,PLAYER_ABOUT_TO_LOSE_NOT_CLOSE,,
PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 4,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,EVENT 1;EVENT 2;EVENT 3;EVENT 4,,1,PLAYER_ABOUT_TO_LOSE_CLOSE,,
PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 5,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,EVENT 1;EVENT 2;EVENT 3;EVENT 4;EVENT 5,,1,PLAYER_ABOUT_TO_LOSE_CLOSE,,
PLAYER_LOSE_EVENT 2_VS_LISA_LOST_EVENT 6,ITEM_LOST,PLAYER,LISA,EVENT 2,EVENT 1;EVENT 2,EVENT 1;EVENT 2;EVENT 3;EVENT 4;EVENT 5;EVENT 6,,1,PLAYER_ABOUT_TO_LOSE_CLOSE,,
